clase,imagen,objeto_id,caract_1_solidez,caract_2_circularidad,caract_3_proporcion,caract_4_rugosidad,caract_5_porc_rojo,caract_6_porc_naranja,caract_7_porc_verde,caract_8_saturacion,caract_9_brillo
onion,onion_001.jpg,1,0.8174832880625627,0.3919917436052917,1.3438155136268344,0.07449802647022523,0.33008019109367004,0.6697784385892217,0.00010724644746142784,179.79231237965243,147.2947571111707
onion,onion_002.jpg,1,0.9491657315809612,0.7176294277046894,1.0661764705882353,0.08558034197712604,0.2769767736323749,0.7229516589869363,6.0557014429084985e-05,183.58478807797542,153.09145210215416
onion,onion_003.jpg,1,0.8441244946378021,0.4062735232693291,1.553470919324578,0.039306815913253926,0.4803340338843638,0.5196659661156362,0.0,176.15283862580466,148.44709794121644
onion,onion_004.jpg,1,0.8923890503258193,0.4364690466917995,0.7296551724137931,0.05768420894310166,0.13287459143299502,0.8668960376168359,0.000214079553491217,172.36933692681154,172.01052812661277
onion,onion_005.jpg,1,0.8408303883059619,0.4110121659868473,1.2923794712286159,0.04196846103172602,0.41576418672358983,0.5842162296248425,1.958365156767131e-05,180.36545704978818,154.13518594677163
onion,onion_006.jpg,1,0.9362464158302145,0.6759235208286533,0.9746300211416491,0.0436764502413797,0.14303880827485976,0.856915775370711,4.5416354429229964e-05,174.34349145794067,175.0618343665554
onion,onion_007.jpg,1,0.9617632783979404,0.7147137594547284,0.8615023474178404,0.06354959738464576,0.10439301325884678,0.8953167794243012,0.0002539314022454791,177.25170043349718,175.23870458708942
onion,onion_008.jpg,1,0.8706681334214906,0.5235023426308789,0.8574144486692015,0.06302965234839136,0.09950602179818589,0.9004939782018141,0.0,175.99394860258764,174.1948221086489
onion,onion_009.jpg,1,0.9028830844846178,0.560211653157991,1.5642023346303502,0.05283808625266287,0.1710920089143585,0.8288443170964661,6.367398917542184e-05,179.92659887259583,166.193789913291
onion,onion_010.jpg,1,0.8605483292117879,0.4870761022901913,1.2189141856392294,0.010146007058633132,0.3579034665782053,0.6420965334217946,0.0,171.56344750373196,158.04432327085752
onion,onion_011.jpg,1,0.7966065656664921,0.3809755896711676,1.2950191570881227,0.04463076108703649,0.4392506112084142,0.5606818519502389,3.151719262857889e-05,175.39247009243542,154.2346274892954
onion,onion_012.jpg,1,0.839750614600914,0.33389831441570705,1.0631911532385465,0.06556221619379399,0.3553652200432848,0.6445318958960283,8.083747625399135e-05,182.5668728022311,158.21019581041406
onion,onion_013.jpg,1,0.900044682277094,0.4845367564706384,1.102177554438861,0.06129520950180158,0.1976120490900592,0.8023721051839293,1.5845726011551535e-05,186.37506437326192,160.30379822052498
onion,onion_014.jpg,1,0.8826101646144421,0.46144139770475706,1.462,0.04434594673797575,0.3408169890535577,0.6591830109464423,0.0,174.26570929371556,158.92820432386296
onion,onion_015.jpg,1,0.9414319455705573,0.637984028042981,0.6272401433691757,0.1014319094122581,0.2281668175872824,0.7718206056947379,1.2576717979676024e-05,178.78607841164435,169.5798411979743
onion,onion_016.jpg,1,0.8617636813172808,0.43970602174181506,1.209433962264151,0.043454898597020515,0.2648672719625937,0.7349348111130353,0.00017317730882462088,179.88563865317533,173.06569852304494
onion,onion_017.jpg,1,0.8871842086465122,0.5443347338050333,1.1724890829694323,0.10103269248546984,0.2637650156327135,0.7362152377818002,1.9746585486259667e-05,184.6601941747573,162.79060062530854
